,Central London cordon,Inner London cordon,London boundary cordon,Thames screenline
1976,,,,14
1977,27,,15,
1978,,20,,16
1979,39,,,
1980,,,14,18
1981,46,27,,
1982,,,,32
1983,47,,15,
1984,,33,,26
1985,44,,,
1986,,,16,24
1987,30,24,,
1988,,,,24
1989,43,,15,
1990,,25,,23
1991,37,,,
1992,,,12,25
1993,35,27,,
1994,,,,30
1995,45,,13,
1996,,30,,27
1997,51,,,
1998,,,10,29
1999,56,31,,
2000,,,,30
2001,51,,9,
2002,61,25,,34
2003,65,,,
2004,72,31,9,41
2005,87,34,,
2006,98,,,52
2007,103,,11,
2008,104,44,,61
2009,120,,14,
2010,137,52,,67
2011,147,,15,
2012,149,57,,84
2013,161,,18,
2014,172,69,,95
2015,157,,19,
2016,184,68,,93
2017,162,,16,
2018,172,70,,98
2019,168,,16,
2020,161,,,
