unique_row_ID;BOROUGH;organisation;road_name;unique_contraflow_ID;road_limits_char;order_action;introduces_one_way_street;introduces_cf_cyclelane;introduces_cf_cycletrack;introduces_cf_footway;introduces_contraflow_bus_lane;enables_cf_cycling_in_bus_lane;introduces_cf_seg_cyclelane;FEATURE_ID;osm_id;spatial_data_source;contraflow_start_date;contraflow_stop_date;notice_id_1;publication_date_1;pub_date_1_source_TRO;tro_type_1;tro_action_1;notice_id_2;publication_date_2;pub_date_2_source_TRO;tro_type_2;tro_action_2;notice_id_3;publication_date_3;pub_date_3_source_TRO;tro_type_3;tro_action_3;contraflow_length;geometry
1;Camden;TFL;Pentonville Road;cam1;Between King's Cross Road and King's Cross Bridge;allow pedal cycles in the contraflow bus lane;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"NA";679330699;OSM_id;2003-12-01;NA;L-57065-494;2003-09-25;TRUE;Permanent;Consultation;L-57126-489;2003-11-27;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";119,543156564803411 [m];list(c(530549.687796187, 530547.701900743, 530543.38064402, 530538.297650745, 530533.848836198, 530525.550495741, 530470.686171849, 530447.510516662, 530443.544498606, 530438.878561045, 530437.438126586, 530436.443143075, 183018.703151789, 183013.878314251, 183012.153721759, 183010.632108784, 183009.54965363, 183008.101202996, 183001.327930322, 182998.673994747, 182998.249427394, 182996.972309164, 182995.766905695, 182993.972046698))
2;Camden;TFL;Pentonville Road;cam1;Between King's Cross Road and King's Cross Bridge;allow pedal cycles in the contraflow bus lane;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"NA";234289105;OSM_id;2003-12-01;NA;L-57065-494;2003-09-25;TRUE;Permanent;Consultation;L-57126-489;2003-11-27;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";25,994170771968648 [m];list(c(530436.443143075, 530436.55093594, 530439.597462622, 182993.972046698, 182993.017832281, 182968.170011739))
3;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG150980;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";25,031535064776140 [m];list(c(529265.766663148, 529277.250698423, 184079.379904758, 184057.138171878))
4;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG003554;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";6,357607796961681 [m];list(c(529277.284900084, 529280.728192993, 184057.061071497, 184051.716643478))
5;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG150956;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";77,996028524203467 [m];list(c(529280.728591757, 529284.139980647, 529287.752461375, 529317.598613732, 184051.694442898, 184046.117516336, 184038.740233502, 183982.981510161))
6;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG003576;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";52,106489910613753 [m];list(c(529317.598613732, 529342.293304669, 183982.981510161, 183937.098413815))
7;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG030487;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";39,549961163573514 [m];list(c(529342.293304669, 529361.277130137, 183937.098413815, 183902.40239389))
8;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG003577;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";11,714772954832409 [m];list(c(529361.277130137, 529366.436499979, 183902.40239389, 183891.884941336))
9;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG003578;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";59,274260243794942 [m];list(c(529377.513975041, 529401.75937237, 529405.701664076, 183873.9404191, 183828.268024061, 183821.810973179))
10;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;RWG003579;"NA";TFL CID;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";110,133222439435798 [m];list(c(529406.086864446, 529458.104261598, 183821.160254363, 183724.085452903))
11;Camden;Camden;Royal College Street;cam2;Between Baynes St & crown dale rd;Permit cyclists to travel southbound (contraflow);FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"NA";"NA";created new from OSM;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";234,525042454389052 [m];list(c(529461.791508369, 529573.230869444, 183716.143131241, 183509.786003083))
12;Camden;Camden;Pratt Street;cam3;between St. Pancras Way and Royal College Street;Permit cyclists to travel westbound (contraflow).;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;"NA";"NA";created new from OSM;2013-09-09;NA;L-60585-1875161;2013-08-01;TRUE;Permanent;Consultation;L-60619-1897042;2013-09-05;TRUE;Permanent;Introduction;"NA";NA;NA;"NA";"NA";73,577540871127269 [m];list(c(529427.660465894, 529366.24033887, 183938.938419923, 183898.42641532))
13;Camden;Camden;Theobalds Road;cam4;Drake Street to the junction of Bloomsbury Way with New Oxford Street / Museum Street;Allow pedal cyclists to enter and proceed along the contraflow bus lane;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;"NA";199662045;OSM_id;2014-01-31;NA;L-60762-1981315;2014-01-23;TRUE;Experimental;Introduction;"NA";NA;NA;"NA";"NA";"NA";NA;NA;"NA";"NA";65,930730950010926 [m];list(c(530519.281650049, 530508.074470497, 530486.220676632, 530483.831710271, 530473.805147711, 181727.86487429, 181716.60509365, 181691.985749104, 181689.854648173, 181680.194273463))
